Date,Close
10/11/1999,88.375
10/12/1999,84.9375
10/13/1999,79.9375
10/14/1999,79.593697
10/15/1999,75.0625
10/18/1999,74.0625
10/19/1999,76.625
10/20/1999,80.5
10/21/1999,80.75
10/22/1999,78.625
10/25/1999,82.75
10/26/1999,81.25
10/27/1999,75.9375
10/28/1999,71
10/29/1999,70.625
11/1/1999,69.125
11/2/1999,66.4375
11/3/1999,65.8125
11/4/1999,63.0625
11/5/1999,64.9375
11/8/1999,78
11/9/1999,70.8125
11/10/1999,72
11/11/1999,73
11/12/1999,74.9375
11/15/1999,73.5
11/16/1999,78.9375
11/17/1999,76.5
11/18/1999,77.9375
11/19/1999,77.9375
11/22/1999,80.5
11/23/1999,81.75
11/24/1999,87.25
11/26/1999,93.125
11/29/1999,90.4375
11/30/1999,85.0625
12/1/1999,85
12/2/1999,89.0625
12/3/1999,86.5625
12/6/1999,87.75
12/7/1999,86.0625
12/8/1999,88.5625
12/9/1999,103.625
12/10/1999,106.6875
12/13/1999,102.5
12/14/1999,95.625
12/15/1999,96.5
12/16/1999,94.875
12/17/1999,94.0625
12/20/1999,97
12/21/1999,99.875
12/22/1999,97.6875
12/23/1999,90
12/27/1999,81.125
12/28/1999,82.3125
12/29/1999,83.5
12/30/1999,79.0625
12/31/1999,76.125
1/3/2000,89.375
1/4/2000,81.9375
1/5/2000,69.75
1/6/2000,65.5625
1/7/2000,69.5625
1/10/2000,69.1875
1/11/2000,66.75
1/12/2000,63.5625
1/13/2000,65.9375
1/14/2000,64.25
1/18/2000,64.125
1/19/2000,66.8125
1/20/2000,64.75
1/21/2000,62.0625
1/24/2000,70.125
1/25/2000,69.25
1/26/2000,64.8125
1/27/2000,66.9375
1/28/2000,61.6875
1/31/2000,64.5625
2/1/2000,67.4375
2/2/2000,69.4375
2/3/2000,84.1875
2/4/2000,78.5625
2/7/2000,75
2/8/2000,83.125
2/9/2000,80.25
2/10/2000,76.1875
2/11/2000,76.1875
2/14/2000,74.4375
2/15/2000,73.8125
2/16/2000,70.6875
2/17/2000,69
2/18/2000,64.75
2/22/2000,63.5625
2/23/2000,70.4375
2/24/2000,68.4375
2/25/2000,69.125
2/28/2000,65.75
2/29/2000,68.875
3/1/2000,65.875
3/2/2000,62.5625
3/3/2000,62.5
3/6/2000,63.9375
3/7/2000,63.5
3/8/2000,63.625
3/9/2000,68.8125
3/10/2000,66.875
