,Unnamed: 0,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
61,1,complex,61.357086487278025,58.54333512317783,1297.4160952999998,100,reg_cal_housing.csv
62,2,complex,61.357086487278025,58.20852370817799,1328.1746967,100,reg_cal_housing.csv
63,3,complex,61.357086487278025,57.886591052268464,1405.3669915,100,reg_cal_housing.csv
64,4,complex,61.357086487278025,58.2289810453167,1497.8542251999995,100,reg_cal_housing.csv
65,5,complex,61.357086487278025,58.72876238182727,1551.7219657999997,100,reg_cal_housing.csv
66,6,complex,61.357086487278025,58.67430416286876,1644.719482300001,100,reg_cal_housing.csv
67,7,complex,61.357086487278025,58.379370724714725,1660.1709694,100,reg_cal_housing.csv
68,8,complex,61.357086487278025,58.25399703855536,1768.1794169999994,100,reg_cal_housing.csv
69,9,complex,61.357086487278025,58.2922395818792,1830.0652691,100,reg_cal_housing.csv
70,10,complex,61.357086487278025,58.30068665556888,1870.5132883999995,100,reg_cal_housing.csv
71,11,complex,61.357086487278025,58.99285167599373,1904.0992220999976,100,reg_cal_housing.csv
72,12,complex,61.357086487278025,58.5292005092186,1834.0063930999968,100,reg_cal_housing.csv
73,13,complex,61.357086487278025,58.37585024693478,1940.2562646999977,100,reg_cal_housing.csv
74,14,complex,61.357086487278025,58.65115121470235,2004.892423500001,100,reg_cal_housing.csv
75,15,complex,61.357086487278025,58.30602285612338,2112.7219092000014,100,reg_cal_housing.csv
76,16,complex,61.357086487278025,58.48731358282532,2126.1117447,100,reg_cal_housing.csv
77,17,complex,61.357086487278025,58.79142903642645,2187.7553004,100,reg_cal_housing.csv
78,18,complex,61.357086487278025,58.2202111088873,2169.102340800004,100,reg_cal_housing.csv
79,19,complex,61.357086487278025,58.35759835870223,2247.4548967999945,100,reg_cal_housing.csv
80,20,complex,61.357086487278025,58.21904370954066,2321.4872523000013,100,reg_cal_housing.csv
81,21,complex,61.357086487278025,58.64051214193321,2419.2264613000007,100,reg_cal_housing.csv
82,22,complex,61.357086487278025,58.72924958471778,2483.5423992,100,reg_cal_housing.csv
83,23,complex,61.357086487278025,58.425501847900144,2521.361197500002,100,reg_cal_housing.csv
84,24,complex,61.357086487278025,58.94774717185721,2607.311101200001,100,reg_cal_housing.csv
85,25,complex,61.357086487278025,58.59616510908769,2634.9833191,100,reg_cal_housing.csv
86,26,complex,61.357086487278025,58.6276594202677,2772.982153900004,100,reg_cal_housing.csv
87,27,complex,61.357086487278025,58.72825123235673,2774.403361600001,100,reg_cal_housing.csv
88,28,complex,61.357086487278025,58.24158443699414,2895.168973699998,100,reg_cal_housing.csv
89,29,complex,61.357086487278025,58.467248992239696,2896.558745200004,100,reg_cal_housing.csv
