Date,Open,High,Low,Close,Height,Volume,gap,gap_center
2011-08-27,85.33000200000002,89.900002,85.110001,86.449997,86.449997,1431310,86.449997,86.449997
2011-09-03,86.459999,90.480003,83.199997,87.239998,87.239998,1315857,87.239998,87.239998
2011-09-10,86.699997,90.519997,85.0,87.959999,87.959999,1557557,87.959999,87.959999
2011-09-17,87.75,87.989998,77.550003,79.849998,79.849998,1583286,79.849998,79.849998
2011-09-24,79.639999,84.769997,77.110001,79.199997,79.199997,1641391,79.199997,79.199997
2011-10-01,78.91999799999998,84.0,74.949997,82.980003,82.980003,1920591,82.980003,82.980003
2011-10-08,82.75,87.400002,82.75,86.800003,86.800003,1556493,86.800003,86.800003
2011-10-15,87.480003,89.510002,84.099998,87.400002,87.400002,1228879,87.400002,87.400002
2011-10-22,87.050003,94.650002,87.0,93.32,93.32,1989163,93.32,93.32
2011-10-29,93.529999,94.93,89.16999799999998,94.260002,94.260002,1440974,94.260002,94.260002
2011-11-05,94.260002,99.199997,93.230003,98.989998,98.989998,1710980,98.989998,98.989998
2011-11-12,99.300003,103.370003,96.639999,97.410004,97.410004,1620131,97.410004,97.410004
2011-11-19,97.540001,98.699997,94.989998,96.769997,96.769997,1067639,96.769997,96.769997
2011-11-26,97.5,101.75,97.129997,100.959999,100.959999,1457229,100.959999,100.959999
2011-12-03,101.230003,102.440002,97.360001,99.410004,99.410004,1446386,99.410004,99.410004
2011-12-10,99.580002,101.25,92.519997,93.529999,93.529999,1517029,93.529999,93.529999
2011-12-17,93.760002,100.230003,92.540001,99.68,99.68,823203,99.68,99.68
2011-12-24,99.919998,101.769997,98.300003,98.830002,98.830002,596872,98.830002,98.830002
2011-12-31,99.699997,103.739998,99.650002,101.559998,101.559998,1133265,101.559998,101.559998
2012-01-07,101.919998,103.410004,97.699997,98.699997,98.699997,1620913,98.699997,98.699997
2012-01-14,98.949997,102.059998,97.910004,98.459999,98.459999,1036430,98.459999,98.459999
2012-01-21,98.339996,101.389999,97.400002,99.559998,99.559998,1318431,99.559998,99.559998
2012-01-28,100.0,101.290001,95.440002,97.839996,97.839996,1533152,97.839996,97.839996
2012-02-04,97.739998,100.18,95.839996,98.669998,98.669998,1641169,98.669998,98.669998
2012-02-11,99.330002,104.139999,99.089996,103.239998,103.239998,1192426,103.239998,103.239998
2012-02-18,104.650002,109.949997,104.260002,109.769997,109.769997,1150943,109.769997,109.769997
2012-02-25,109.669998,110.550003,104.839996,106.699997,106.699997,1598947,106.699997,106.699997
2012-03-03,106.75,108.199997,104.349998,107.400002,107.400002,1475544,107.400002,107.400002
2012-03-10,107.5,107.559998,103.779999,107.059998,107.059998,1364618,107.059998,107.059998
2012-03-17,107.18,108.25,104.5,106.870003,106.870003,1248234,106.870003,106.870003
2012-03-24,106.790001,107.730003,102.129997,103.019997,103.019997,1244519,103.019997,103.019997
2012-03-31,103.269997,105.489998,101.080002,103.309998,103.309998,1067270,103.309998,103.309998
2012-04-07,102.529999,104.239998,100.68,102.830002,102.830002,1300403,102.830002,102.830002
2012-04-14,102.800003,105.07,101.669998,103.050003,103.050003,1042482,103.050003,103.050003
2012-04-21,103.82,105.0,101.82,104.93,104.93,1060926,104.93,104.93
2012-04-28,104.93,106.43,97.510002,98.489998,98.489998,1473966,98.489998,98.489998
2012-05-05,98.050003,98.239998,95.169998,96.129997,96.129997,1509959,96.129997,96.129997
2012-05-12,95.790001,95.830002,90.93,91.480003,91.480003,1336899,91.480003,91.480003
2012-05-19,91.269997,93.059998,89.279999,90.860001,90.860001,994429,90.860001,90.860001
2012-05-26,91.0,92.209999,82.290001,83.230003,83.230003,1312771,83.230003,83.230003
2012-06-02,82.959999,87.029999,81.209999,84.099998,84.099998,1512880,84.099998,84.099998
2012-06-09,85.720001,86.639999,81.07,84.029999,84.029999,1487056,84.029999,84.029999
2012-06-16,85.089996,85.599998,77.559998,79.760002,79.760002,1409946,79.760002,79.760002
2012-06-23,80.199997,85.339996,77.279999,84.959999,84.959999,1504472,84.959999,84.959999
2012-06-30,84.650002,88.980003,82.099998,84.449997,84.449997,1300110,84.449997,84.449997
2012-07-07,84.199997,87.610001,83.650002,87.099998,87.099998,1357684,87.099998,87.099998
2012-07-14,87.129997,92.940002,86.410004,91.440002,91.440002,1030856,91.440002,91.440002
2012-07-21,91.610001,91.639999,86.839996,90.129997,90.129997,1333584,90.129997,90.129997
2012-07-28,90.139999,91.739998,86.91999799999998,91.400002,91.400002,1359631,91.400002,91.400002
2012-08-04,91.339996,94.720001,90.629997,92.870003,92.870003,1207466,92.870003,92.870003
2012-08-11,93.25,96.279999,92.050003,96.010002,96.010002,1137541,96.010002,96.010002
2012-08-18,96.360001,98.290001,95.019997,96.150002,96.150002,980323,96.150002,96.150002
2012-08-25,96.669998,97.720001,93.949997,96.470001,96.470001,1056707,96.470001,96.470001
2012-09-01,96.379997,97.709999,94.080002,96.419998,96.419998,1109299,96.419998,-100.0
2012-09-08,96.239998,100.419998,95.339996,99.0,99.0,1230379,99.0,-100.0
2012-09-15,99.150002,99.519997,90.660004,92.889999,92.889999,1063109,92.889999,-100.0
2012-09-22,93.18,93.199997,88.949997,92.190002,92.190002,1146880,92.190002,-100.0
2012-09-29,92.150002,93.330002,87.699997,89.879997,89.879997,1303759,89.879997,-100.0
2012-10-06,89.849998,93.660004,88.209999,91.860001,91.860001,1382779,91.860001,-100.0
2012-10-13,91.629997,93.050003,89.790001,90.050003,90.050003,1035878,90.050003,-100.0
2012-10-20,89.519997,90.800003,84.940002,86.279999,86.279999,1304428,86.279999,-100.0
2012-10-27,86.43,87.41999799999998,84.660004,84.860001,84.860001,959018,84.860001,-100.0
2012-11-03,84.650002,89.220001,84.050003,86.07,86.07,1566039,86.07,-100.0
2012-11-10,86.190002,87.010002,84.57,86.66999799999998,86.66999799999998,1337550,86.66999799999998,-100.0
2012-11-17,87.300003,89.800003,86.16999799999998,88.279999,88.279999,895632,88.279999,-100.0
2012-11-24,88.209999,88.989998,85.360001,88.910004,88.910004,1103043,88.910004,-100.0
2012-12-01,88.849998,90.330002,85.68,85.93,85.93,1177388,85.93,-100.0
2012-12-08,85.980003,87.68,85.209999,86.730003,86.730003,1176497,86.730003,-100.0
2012-12-15,86.879997,90.540001,86.480003,88.660004,88.660004,841958,88.660004,-100.0
2012-12-22,88.599998,91.489998,88.199997,90.800003,90.800003,474259,90.800003,-100.0
2012-12-29,90.410004,93.870003,90.0,93.089996,93.089996,723949,93.089996,-100.0
2013-01-05,93.209999,94.699997,92.419998,93.559998,93.559998,1100660,93.559998,-100.0
2013-01-12,93.739998,96.040001,92.949997,95.559998,95.559998,1035101,95.559998,-100.0
2013-01-19,95.25,96.919998,94.949997,95.879997,95.879997,971307,95.879997,-100.0
2013-01-26,96.040001,98.239998,95.470001,97.769997,97.769997,1132299,97.769997,-100.0
2013-02-02,97.720001,97.760002,95.040001,95.720001,95.720001,1173335,95.720001,-100.0
2013-02-09,95.790001,98.110001,94.970001,95.860001,95.860001,1168380,95.860001,-100.0
2013-02-16,95.970001,97.07,92.440002,93.129997,93.129997,947966,93.129997,-100.0
2013-02-23,93.230003,94.459999,90.040001,90.68,90.68,1116452,90.68,-100.0
2013-03-02,90.709999,92.029999,89.33000200000002,91.949997,91.949997,1140032,91.949997,-100.0
2013-03-09,91.830002,93.839996,90.889999,93.449997,93.449997,1079369,93.449997,-100.0
2013-03-16,93.260002,94.089996,91.760002,93.709999,93.709999,891591,93.709999,-100.0
2013-03-23,93.720001,97.349998,93.699997,97.230003,97.230003,867163,97.230003,-100.0
2013-03-30,97.360001,97.800003,91.910004,92.699997,92.699997,1327105,-100.0,-100.0
2013-04-06,93.019997,94.82,90.269997,91.290001,91.290001,1243413,-100.0,-100.0
2013-04-13,90.949997,90.980003,85.610001,88.010002,88.010002,1273060,-100.0,-100.0
2013-04-20,87.959999,93.870003,87.550003,93.0,93.0,1296354,-100.0,-100.0
2013-04-27,92.699997,96.040001,90.110001,95.610001,95.610001,1432819,-100.0,-100.0
2013-05-04,95.580002,97.169998,93.370003,96.040001,96.040001,1433775,-100.0,-100.0
2013-05-11,95.760002,96.449997,92.129997,96.019997,96.019997,1412740,-100.0,-100.0
2013-05-18,95.93,97.110001,92.209999,94.150002,94.150002,1241901,-100.0,-100.0
2013-05-25,93.889999,95.919998,91.559998,91.970001,91.970001,1097284,-100.0,-100.0
2013-06-01,91.730003,96.389999,91.260002,96.029999,96.029999,1455516,-100.0,-100.0
2013-06-08,96.089996,98.25,94.040001,97.849998,97.849998,1202300,-100.0,-100.0
2013-06-15,97.849998,99.010002,93.120003,93.690002,93.690002,1216844,-100.0,-100.0
2013-06-22,93.849998,97.82,92.669998,96.559998,96.559998,1391698,-100.0,-100.0
2013-06-29,96.580002,103.68,96.07,103.220001,103.220001,1124251,-100.0,-100.0
2013-07-06,103.949997,107.449997,102.129997,105.949997,105.949997,1495179,-100.0,-100.0
2013-07-13,106.050003,109.32,104.650002,108.050003,108.050003,992852,-100.0,-100.0
2013-07-20,108.339996,108.790001,103.900002,104.699997,104.699997,1283203,-100.0,-100.0
2013-07-27,104.610001,108.82,102.669998,106.940002,106.940002,1257966,-100.0,-100.0
2013-08-03,106.839996,107.690002,102.220001,105.970001,105.970001,1395964,-100.0,-100.0
2013-08-10,105.839996,108.169998,105.029999,107.459999,107.459999,1236560,-100.0,-100.0
2013-08-17,107.779999,107.800003,103.5,106.419998,106.419998,1187326,-100.0,-100.0
2013-08-24,106.910004,112.239998,105.559998,107.650002,107.650002,1298176,-100.0,-100.0
2013-08-31,107.07,110.699997,104.209999,110.529999,110.529999,967150,-100.0,-100.0
2013-09-07,110.279999,110.459999,106.389999,108.209999,108.209999,1287281,-100.0,-100.0
2013-09-14,107.5,108.989998,104.32,104.68,104.68,1177822,-100.0,-100.0
2013-09-21,104.889999,105.120003,102.199997,102.870003,102.870003,1135207,102.870003,-100.0
2013-09-28,102.459999,104.379997,101.050003,103.839996,103.839996,1141683,103.839996,-100.0
2013-10-05,103.449997,104.080002,100.599998,102.019997,102.019997,1341425,102.019997,-100.0
2013-10-12,101.370003,102.970001,100.029999,100.809998,100.809998,1029433,100.809998,-100.0
2013-10-19,100.629997,100.949997,95.949997,97.849998,97.849998,1235706,97.849998,-100.0
2013-10-26,97.879997,98.82,94.360001,94.610001,94.610001,1219075,94.610001,-100.0
2013-11-02,94.519997,95.400002,93.07,94.599998,94.599998,1230572,94.599998,-100.0
2013-11-09,94.449997,95.379997,92.510002,93.839996,93.839996,1384851,93.839996,-100.0
2013-11-16,93.779999,95.629997,92.43,94.839996,94.839996,1006778,94.839996,-100.0
2013-11-23,94.150002,94.690002,91.769997,92.720001,92.720001,805121,92.720001,-100.0
2013-11-30,92.709999,98.07,92.559998,97.650002,97.650002,1320264,97.650002,-100.0
2013-12-07,97.660004,98.75,96.260002,96.599998,96.599998,1188032,96.599998,-100.0
2013-12-14,96.550003,99.400002,96.209999,99.32,99.32,736408,99.32,-100.0
2013-12-21,99.199997,100.75,98.529999,100.32,100.32,352014,100.32,-100.0
2013-12-28,100.150002,100.419998,93.860001,93.959999,93.959999,699033,93.959999,-100.0
2014-01-04,94.18,94.589996,91.239998,92.720001,92.720001,1123188,92.720001,-100.0
2014-01-11,92.830002,94.940002,91.43,94.370003,94.370003,1003999,94.370003,-100.0
2014-01-18,94.0,97.839996,93.43,96.639999,96.639999,1010961,96.639999,-100.0
2014-01-25,96.900002,98.589996,95.209999,97.489998,97.489998,1094963,97.489998,-100.0
2014-02-01,97.400002,100.239998,96.260002,99.879997,99.879997,1239953,99.879997,-100.0
2014-02-08,100.050003,101.379997,99.110001,100.300003,100.300003,1255252,100.300003,-100.0
2014-02-15,100.32,103.800003,100.230003,102.199997,102.199997,661192,102.199997,-100.0
2014-02-22,102.290001,103.449997,101.019997,102.589996,102.589996,936364,102.589996,-100.0
2014-03-01,103.0,105.220001,100.129997,102.580002,102.580002,1291655,102.580002,-100.0
2014-03-08,102.75,102.82,97.550003,98.889999,98.889999,1430792,98.889999,-100.0
2014-03-15,99.389999,100.82,97.370003,99.459999,99.459999,966369,99.459999,-100.0
2014-03-22,99.489998,102.239998,98.800003,101.669998,101.669998,948616,101.669998,-100.0
2014-03-29,101.690002,101.970001,98.860001,101.139999,101.139999,1025692,101.139999,-100.0
2014-04-05,100.910004,104.440002,99.919998,103.739998,103.739998,1363177,103.739998,-100.0
2014-04-12,103.559998,104.989998,102.910004,104.300003,104.300003,923795,104.300003,-100.0
2014-04-19,104.540001,104.769997,100.480003,100.599998,100.599998,1113342,100.599998,-100.0
2014-04-26,100.489998,102.199997,98.739998,99.760002,99.760002,1182346,99.760002,-100.0
2014-05-03,99.959999,101.18,98.910004,99.989998,99.989998,1256427,99.989998,-100.0
2014-05-10,100.120003,102.650002,99.93,102.019997,102.019997,1123669,102.019997,-100.0
2014-05-17,102.129997,104.5,101.970001,104.349998,104.349998,962754,104.349998,-100.0
2014-05-24,104.339996,104.5,102.400002,102.709999,102.709999,788761,102.709999,-100.0
2014-05-31,102.919998,103.690002,101.599998,102.660004,102.660004,925950,102.660004,-100.0
2014-06-07,102.779999,107.68,102.620003,106.910004,106.910004,1266939,106.910004,-100.0
2014-06-14,106.879997,107.730003,105.32,107.260002,107.260002,970269,107.260002,-100.0
2014-06-21,107.419998,107.5,105.029999,105.739998,105.739998,924441,105.739998,-100.0
2014-06-28,105.690002,106.089996,103.669998,104.059998,104.059998,847024,104.059998,-100.0
2014-07-05,104.059998,104.199997,100.440002,100.830002,100.830002,1200241,100.830002,-100.0
2014-07-12,100.459999,103.940002,99.010002,103.129997,103.129997,1339474,103.129997,-100.0
2014-07-19,102.970001,105.25,101.0,102.089996,102.089996,1119356,102.089996,-100.0
2014-07-26,101.870003,102.099998,97.089996,97.879997,97.879997,1330626,97.879997,-100.0
2014-08-02,97.669998,98.669998,96.550003,97.650002,97.650002,1262634,97.650002,-100.0
2014-08-09,97.540001,98.580002,95.260002,97.349998,97.349998,1358157,97.349998,-100.0
2014-08-16,97.099998,97.160004,92.5,93.650002,93.650002,891530,93.650002,-100.0
2014-08-23,93.339996,96.0,93.050003,95.959999,95.959999,985872,95.959999,-100.0
2014-08-30,95.809998,95.910004,92.68,93.290001,93.290001,1130277,93.290001,-100.0
2014-09-06,93.489998,93.940002,90.43,92.269997,92.269997,1550115,92.269997,-100.0
2014-09-13,92.129997,95.190002,90.629997,92.410004,92.410004,1124613,92.410004,-100.0
2014-09-20,92.220001,93.860001,90.580002,93.540001,93.540001,1267378,93.540001,-100.0
2014-09-27,93.349998,94.900002,88.18,89.739998,89.739998,1872092,89.739998,-100.0
2014-10-04,89.769997,90.739998,83.589996,85.82,85.82,1692027,85.82,-100.0
2014-10-11,85.199997,85.870003,79.779999,82.75,82.75,1854564,82.75,-100.0
2014-10-18,83.129997,84.050003,80.050003,81.010002,81.010002,1360789,81.010002,-100.0
2014-10-25,81.269997,82.879997,79.440002,80.540001,80.540001,1359410,80.540001,-100.0
2014-11-01,80.589996,80.980003,75.839996,78.650002,78.650002,1865467,78.650002,-100.0
2014-11-08,78.5,79.849998,73.25,75.82,75.82,1796009,75.82,-100.0
2014-11-15,75.93,77.83000200000002,73.879997,76.510002,76.510002,1093991,76.510002,-100.0
2014-11-22,76.620003,77.019997,65.690002,66.150002,66.150002,1300462,66.150002,-100.0
2014-11-29,66.0,69.540001,63.720001,65.839996,65.839996,1671445,65.839996,-100.0
2014-12-06,65.459999,65.550003,57.34,57.810001,57.810001,1915770,57.810001,-100.0
2014-12-13,57.07,58.98,53.599998,56.52,56.52,1785558,56.52,-100.0
2014-12-20,57.75,58.529999,54.509998,54.73,54.73,853493,54.73,-100.0
2014-12-27,55.049999,55.740002,52.029999,52.689999,52.689999,962159,52.689999,-100.0
2015-01-03,52.610001,52.73,46.830002,48.360001,48.360001,2070595,48.360001,-100.0
2015-01-10,48.189999,51.27,44.200001,48.689999,48.689999,2035705,48.689999,-100.0
2015-01-17,48.689999,49.09,45.209999,45.59,45.59,1580262,45.59,-100.0
2015-01-24,45.200001,48.349998,43.580002,48.240002,48.240002,1744093,48.240002,-100.0
2015-01-31,47.59,54.240002,46.669998,51.689999,51.689999,2915670,51.689999,-100.0
2015-02-07,52.009998,53.990002,48.049999,52.779999,52.779999,2558071,52.779999,-100.0
2015-02-14,52.75,54.150002,49.150002,50.34,50.34,1267610,50.34,-100.0
2015-02-21,50.75,51.279999,47.799999,49.759998,49.759998,2057086,49.759998,-100.0
2015-02-28,49.450001,52.400002,48.709999,49.610001,49.610001,2039556,49.610001,-100.0
2015-03-07,49.599998,50.790001,44.75,44.84,44.84,1964331,44.84,-100.0
2015-03-14,44.810001,46.529999,42.029999,45.720001,45.720001,1420635,45.720001,-100.0
2015-03-21,46.41,52.48,45.330002,48.869999,48.869999,1900134,48.869999,-100.0
2015-03-28,48.57,50.450001,47.049999,49.139999,49.139999,1626112,49.139999,-100.0
2015-04-04,49.470001,54.130001,49.470001,51.639999,51.639999,2271445,51.639999,-100.0
2015-04-11,51.810001,57.419998,51.470001,55.740002,55.740002,1959221,55.740002,-100.0
2015-04-18,56.16,58.41,54.849998,57.150002,57.150002,1540148,57.150002,-100.0
2015-04-25,57.299999,59.900002,56.07,59.150002,59.150002,1528594,59.150002,-100.0
2015-05-02,59.299999,62.580002,58.139999,59.389999,59.389999,1899969,59.389999,-100.0
2015-05-09,59.43,61.849998,58.419998,59.689999,59.689999,1740395,59.689999,-100.0
2015-05-16,59.849998,60.939999,57.09,59.720001,59.720001,1328369,59.720001,-100.0
2015-05-23,60.049999,60.700001,56.509998,60.299999,60.299999,1437949,60.299999,-100.0
2015-05-30,60.290001,61.580002,56.830002,59.130001,59.130001,1832356,59.130001,-100.0
2015-06-06,58.959999,61.82,57.860001,59.959999,59.959999,1804415,59.959999,-100.0
2015-06-13,59.900002,61.380001,58.73,59.610001,59.610001,1203808,59.610001,-100.0
2015-06-20,59.439999,61.57,58.759998,59.630001,59.630001,1358813,59.630001,-100.0
2015-06-27,58.84,59.689999,56.5,56.93,56.93,1238965,56.93,-100.0
2015-07-04,54.900002,55.34,50.580002,52.740002,52.740002,2234036,52.740002,-100.0
2015-07-11,52.150002,53.5,50.139999,50.889999,50.889999,1639448,50.889999,-100.0
2015-07-18,50.759998,51.259998,47.720001,48.139999,48.139999,1299197,48.139999,48.139999
2015-07-25,48.0,49.52,46.68,47.119999,47.119999,1560750,47.119999,47.119999
2015-08-01,46.860001,46.939999,43.700001,43.869999,43.869999,1785244,43.869999,43.869999
2015-08-08,43.580002,45.34,41.349998,42.5,42.5,2259066,42.5,42.5
2015-08-15,42.18,42.900002,39.860001,40.450001,40.450001,1379652,40.450001,40.450001
2015-08-22,40.299999,45.900002,37.75,45.220001,45.220001,2412748,45.220001,45.220001
2015-08-29,45.0,49.330002,43.209999,46.049999,46.049999,3085303,46.049999,46.049999
2015-09-05,45.82,46.41,43.360001,44.630001,44.630001,1826380,44.630001,44.630001
2015-09-12,44.779999,47.709999,43.59,44.68,44.68,1661894,44.68,44.68
2015-09-19,44.970001,47.150002,43.709999,45.700001,45.700001,1572958,45.700001,45.700001
2015-09-26,45.380001,47.099998,43.970001,45.540001,45.540001,1794654,45.540001,45.540001
2015-10-03,45.650002,50.919998,45.209999,49.630001,49.630001,2342090,49.630001,49.630001
2015-10-10,49.509998,50.130001,45.23,47.259998,47.259998,1791359,47.259998,47.259998
2015-10-17,47.27,47.490002,44.200001,44.599998,44.599998,1600761,44.599998,44.599998
2015-10-24,44.740002,47.029999,42.580002,46.59,46.59,1994247,46.59,46.59
2015-10-31,46.43,48.360001,44.110001,44.290001,44.290001,2085178,44.290001,44.290001
2015-11-07,44.52,45.119999,40.220001,40.740002,40.740002,2462580,40.740002,40.740002
2015-11-14,40.919998,42.25,38.990002,40.389999,40.389999,1714409,40.389999,40.389999
2015-11-21,41.490002,43.459999,40.41,41.709999,41.709999,1646127,41.709999,41.709999
2015-11-28,41.77,42.610001,39.599998,39.970001,39.970001,2337977,39.970001,39.970001
2015-12-05,40.099998,40.150002,35.16,35.619999,35.619999,3068109,35.619999,35.619999
2015-12-12,35.400002,37.880001,34.290001000000004,34.73,34.73,1739867,34.73,34.73
2015-12-19,34.580002,38.279999,33.98,38.099998,38.099998,1180874,38.099998,38.099998
2015-12-26,38.0,38.09,36.220001,37.040001,37.040001,1014124,37.040001,37.040001
2016-01-02,37.599998,38.389999,32.099998,33.16,33.16,2619832,33.16,33.16
2016-01-09,32.939999,33.200001,29.129999,29.42,29.42,2780761,29.42,29.42
2016-01-16,29.200001,32.349998,26.190001,32.189999,32.189999,2208678,32.189999,32.189999
2016-01-23,32.049999,34.82,29.25,33.619999,33.619999,3439363,33.619999,33.619999
2016-01-30,33.830002,34.18,29.4,30.889999,30.889999,3323127,30.889999,30.889999
