datetime,wind_speed,value
2010082114,3.1 ,102
2010082115,2.9 ,108
2010082116,2.8 ,108
2010082117,2.8 ,115
2010082118,2.8 ,115
2010082119,2.8 ,112
2010082120,2.7 ,112
2010082121,2.8 ,101
2010082122,2.7 ,95
2010082123,2.5 ,90
201008220 ,2.4 ,90
201008221 ,2.2 ,88
201008222 ,2.1 ,90
201008223 ,2   ,94
201008224 ,2.1 ,94
201008225 ,2.3 ,101
201008226 ,2.5 ,102
201008227 ,2.8 ,100
201008228 ,3   ,100
201008229 ,3.1 ,92
2010082210,3.2 ,87
2010082211,3.2 ,83
2010082212,3.3 ,83
2010082213,3.2 ,84
2010082214,3.1 ,89
2010082215,3   ,96
2010082216,2.9 ,96
2010082217,2.8 ,109
2010082218,2.7 ,113
2010082219,2.7 ,114
2010082220,2.7 ,114
2010082221,2.8 ,105
2010082222,3   ,97
2010082223,3.1 ,89
201008230 ,3.2 ,89
201008231 ,3.3 ,81
201008232 ,3.4 ,82
201008233 ,3.4 ,86
201008234 ,3.6 ,86
201008235 ,3.7 ,97
201008236 ,3.7 ,102
201008237 ,3.4 ,104
201008238 ,3.2 ,104
201008239 ,2.9 ,100
2010082310,2.8 ,94
2010082311,2.8 ,88
2010082312,2.6 ,88
2010082313,2.5 ,83
2010082314,2.4 ,86
2010082315,2.2 ,92
2010082316,2   ,92
2010082317,1.9 ,108
2010082318,2   ,116
2010082319,2   ,120
2010082320,2.1 ,120
2010082321,2.2 ,117
2010082322,2.4 ,109
2010082323,2.6 ,100
201008240 ,3   ,100
201008241 ,3.4 ,86
201008242 ,3.8 ,83
201008243 ,4   ,85
201008244 ,4.2 ,85
201008245 ,4.5 ,96
201008246 ,4.5 ,104
201008247 ,4.4 ,109
201008248 ,4.4 ,109
201008249 ,4.3 ,108
2010082410,4.3 ,103
2010082411,4.2 ,95
2010082412,4.2 ,95
2010082413,4.3 ,85
2010082414,4.3 ,84
2010082415,4.4 ,88
2010082416,4.7 ,88
