74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,dates
-0.8733784556388855,-0.9011027812957764,-0.9030373692512512,-0.893254816532135,-0.8901669979095459,-0.89925616979599,-0.9005956053733826,-0.8882561922073364,-0.8228294849395752,-0.8258162140846252,2002-02-15
-0.8650608658790588,-0.9003956913948059,-0.9205714464187622,-0.9042465090751648,-0.8896406888961792,-0.8952494263648987,-0.9141610860824584,-0.8934891223907471,-0.8462918996810913,-0.8546124100685121,2002-02-16
-0.8635984659194946,-0.9083534479141236,-0.9205422401428224,-0.9206244349479676,-0.90297931432724,-0.9008121490478516,-0.9196600317955016,-0.9158488512039183,-0.8766441941261292,-0.8767426609992981,2002-02-17
-0.8847686052322388,-0.926491677761078,-0.9309565424919128,-0.924014925956726,-0.9236434102058412,-0.9235602617263794,-0.9349238872528076,-0.9255510568618774,-0.9021795392036438,-0.9054867029190063,2002-02-18
-0.8949205279350281,-0.9356247782707214,-0.9332053065299988,-0.937125325202942,-0.926031768321991,-0.9304549098014832,-0.9368301033973694,-0.9307796359062196,-0.9040150046348572,-0.9155455231666564,2002-02-19
-0.9016795754432678,-0.9449782967567444,-0.9543801546096802,-0.949909210205078,-0.934226393699646,-0.9438303709030152,-0.9586164951324464,-0.9500479102134703,-0.9097727537155152,-0.927705943584442,2002-02-20
-0.9261458516120912,-0.9483240246772766,-0.9658477306365968,-0.9790232181549072,-0.9582254886627196,-0.9491284489631652,-0.97584068775177,-0.9748413562774658,-0.9313949942588806,-0.9504032135009766,2002-02-21
-0.9602433443069458,-0.9439697265625,-0.9726237058639526,-0.9822363853454591,-0.98529714345932,-0.9419868588447572,-0.9681978225708008,-0.9753418564796448,-0.9412767291069032,-0.9574579000473022,2002-02-22
-0.974905788898468,-0.9491031169891356,-0.9764752388000488,-0.9931552410125732,-0.9987831711769104,-0.947060227394104,-0.9847999811172484,-0.9840027689933776,-0.9611563682556152,-0.9785683155059814,2002-02-23
-0.9958614706993104,-0.9569011330604552,-0.975864827632904,-0.9904364347457886,-1.000710129737854,-0.9588499069213868,-0.997649312019348,-1.0002220869064329,-0.9958768486976624,-1.0098916292190552,2002-02-24
-1.0085220336914062,-0.9683382511138916,-1.0038647651672363,-1.0369962453842163,-1.0106090307235718,-0.9654111862182616,-1.0178422927856443,-1.0214900970458984,-1.0172660350799558,-1.0099996328353882,2002-02-25
-0.9951809644699096,-0.9703499078750609,-1.0158861875534058,-1.0053668022155762,-0.9973289966583252,-0.9622353315353394,-1.0134915113449097,-1.0178717374801636,-0.9965281486511229,-0.9825483560562134,2002-02-26
-0.98341965675354,-0.965930998325348,-0.9909703135490416,-0.99680757522583,-0.9947324395179749,-0.964101254940033,-1.0018779039382937,-1.0013289451599119,-0.9842023849487304,-0.9782856106758118,2002-02-27
-0.9741262793540956,-0.9585574865341188,-0.9878399968147278,-1.0030573606491089,-0.9885426759719848,-0.9561533927917479,-1.0010526180267334,-0.9886845350265504,-0.9830626249313354,-0.97401762008667,2002-02-28
-0.9598469138145448,-0.9495608806610109,-0.9632880687713624,-0.9791235327720642,-0.9799430370330809,-0.9454522132873536,-0.9853739142417908,-0.9894336462020874,-0.9790000915527344,-0.977187156677246,2002-03-01
-0.9522870779037476,-0.9540064930915833,-0.96674245595932,-0.9870029091835022,-0.970169186592102,-0.9528480172157288,-0.9931181073188782,-0.9859922528266908,-0.979572892189026,-0.9755868315696716,2002-03-02
-0.9495028257369996,-0.9500470161437988,-0.9717421531677246,-0.9879543781280518,-0.9672147035598756,-0.9445974230766296,-0.987809419631958,-0.9917020201683044,-0.9759978652000428,-0.973280429840088,2002-03-03
-0.9497597813606262,-0.9516737461090088,-0.9760032296180724,-0.9939654469490052,-0.9740616679191588,-0.9419373273849488,-0.9899412393569946,-0.9954750537872314,-0.9798805713653564,-0.9802974462509156,2002-03-04
-0.9411491751670836,-0.96298748254776,-0.9721472859382628,-0.9802404642105104,-0.9712821841239928,-0.9577739238739014,-0.9912949800491332,-0.9868361353874208,-0.9824082851409912,-0.9780539870262146,2002-03-05
-0.9300559163093568,-0.9681503772735596,-0.9701603055000304,-0.9724072217941284,-0.9648853540420532,-0.9636624455451964,-0.9903783798217772,-0.9833247065544128,-0.9694567918777466,-0.9664060473442078,2002-03-06
-0.9207359552383424,-0.9650391936302184,-0.9716721773147584,-0.966991662979126,-0.9549221396446228,-0.9623745679855348,-0.9836246967315674,-0.9734659790992736,-0.9436293840408324,-0.9471231698989868,2002-03-07
-0.9327377676963806,-0.965922713279724,-0.9757421016693116,-0.969995617866516,-0.9644153714179992,-0.9671301841735841,-0.985240876674652,-0.980584681034088,-0.9451611638069152,-0.9576371312141418,2002-03-08
-0.9344796538352966,-0.9595080614089966,-0.963886857032776,-0.9734873771667479,-0.9712918400764464,-0.9604030251502992,-0.9854024052619934,-0.9821997880935668,-0.9532164931297302,-0.964708924293518,2002-03-09
-0.9388214945793152,-0.9370136260986328,-0.9453957080841064,-0.9527637362480164,-0.964381217956543,-0.9332642555236816,-0.9647843241691588,-0.9659914970397948,-0.9453027844429016,-0.9527782797813416,2002-03-10
-0.937687337398529,-0.9291740655899048,-0.9419583082199096,-0.9588679671287536,-0.9656774997711182,-0.9300962090492249,-0.964684784412384,-0.9696566462516784,-0.9459762573242188,-0.9479372501373292,2002-03-11
-0.9358718991279602,-0.9130027294158936,-0.9308104515075684,-0.9485145211219788,-0.9585235714912416,-0.9101073145866394,-0.9473390579223632,-0.9526633620262146,-0.9225629568099976,-0.9231471419334412,2002-03-12
-0.9211121797561646,-0.9030578136444092,-0.9239220023155212,-0.9314120411872864,-0.9404993057250975,-0.8995842337608337,-0.9330176115036012,-0.9393616914749146,-0.901256501674652,-0.90364408493042,2002-03-13
-0.9245690703392028,-0.9098641276359558,-0.93192458152771,-0.9354217052459716,-0.9431487321853638,-0.909557282924652,-0.9378639459609984,-0.9421162009239196,-0.9070886373519896,-0.915812373161316,2002-03-14
-0.9098892807960509,-0.9161846041679382,-0.938981592655182,-0.9357081055641174,-0.9326204657554626,-0.9128368496894836,-0.9421088099479676,-0.9353715777397156,-0.9120514988899232,-0.9181671142578124,2002-03-15
-0.9118023514747621,-0.9398820400238036,-0.9643286466598512,-0.9647565484046936,-0.9483292698860168,-0.9385483860969543,-0.9727521538734436,-0.9745537638664246,-0.941325545310974,-0.934772253036499,2002-03-16
-0.9082292318344116,-0.9426568150520324,-0.9490352272987366,-0.9481878876686096,-0.9536787271499634,-0.9332532286643982,-0.956607699394226,-0.965993344783783,-0.9315250515937804,-0.932224690914154,2002-03-17
-0.9088406562805176,-0.9395458698272704,-0.9496118426322936,-0.946876347064972,-0.9465197920799256,-0.9337247610092164,-0.9601365923881532,-0.9371164441108704,-0.9265904426574708,-0.932856261730194,2002-03-18
-0.9156597852706908,-0.9428128004074096,-0.9461063146591188,-0.948855757713318,-0.9585548043251038,-0.944306254386902,-0.9567235708236694,-0.9633104205131532,-0.9388101100921632,-0.9553639888763428,2002-03-19
-0.922807276248932,-0.943345069885254,-0.9616180062294006,-0.9884495139122008,-0.9804703593254088,-0.9444304108619691,-0.9881598353385924,-0.9952408671379088,-0.9680845737457277,-0.9595207571983336,2002-03-20
-0.9324001669883728,-0.9348210096359252,-0.9370806813240052,-0.9578906297683716,-0.9803742170333862,-0.9330125451087952,-0.962671160697937,-0.9735574126243592,-0.9511856436729432,-0.9520835280418396,2002-03-21
-0.9347857832908629,-0.9343885183334352,-0.9448179602622986,-0.9530819058418274,-0.973119854927063,-0.93506121635437,-0.969068706035614,-0.962785303592682,-0.951490879058838,-0.9630622863769532,2002-03-22
-0.9227303862571716,-0.9245998859405518,-0.9366089701652528,-0.9394210577011108,-0.951939582824707,-0.9260823130607604,-0.9534654021263124,-0.948107361793518,-0.9357681870460509,-0.9504805207252502,2002-03-23
-0.9029594659805298,-0.9209096431732178,-0.9404971599578856,-0.9362510442733764,-0.9392558932304382,-0.9262887835502625,-0.9515650272369384,-0.950328528881073,-0.9258248209953308,-0.9316135048866272,2002-03-24
-0.8911338448524475,-0.909825563430786,-0.9137111902236938,-0.9114981293678284,-0.92851585149765,-0.9176650643348694,-0.9258778691291808,-0.9274640083312988,-0.9057228565216064,-0.9125433564186096,2002-03-25
-0.8913300633430481,-0.9029923081398009,-0.911540687084198,-0.9103983044624328,-0.9202059507369996,-0.9049534201622008,-0.9252124428749084,-0.9160470962524414,-0.8973793983459473,-0.9038230776786804,2002-03-26
