date,85_15,65_40,65_60,94_60,35_60,50_40,80_70,95_53,110_70,65_50,40_50
2006-06-02,0.98719996,0.58349997,0.6804,0.71189994,0.045999996,0.345,0.91999996,0.78569996,0.90989995,0.8739,0.0
2006-06-03,0.94519997,0.45969996,0.66830003,0.5958,0.0429,0.3477,0.89159995,0.72279996,0.9301999,0.79089993,0.0
2006-06-04,0.8665999,0.45499998,0.63089997,0.57789993,0.0234,0.31449997,0.85919994,0.73639995,0.8728,0.75769997,0.0
2006-06-05,0.89019996,0.4125,0.48899996,0.5416,0.0382,0.2993,0.8696,0.6325,0.86099994,0.71529996,0.009199999
2006-06-06,0.9336,0.4173,0.4384,0.5538,0.040599998,0.3155,0.92109996,0.66629994,0.9215999,0.69049996,0.015899999
2006-06-07,0.9647,0.44439998,0.45919997,0.56259996,0.0034,0.30789998,0.9535,0.71229994,0.91139996,0.7579,0.0
2006-06-08,0.97019994,0.5089,0.3425,0.5387,0.0694,0.3214,0.8743,0.69119996,0.88769996,0.7583,0.026199998
2006-06-09,0.98039997,0.4195,0.33249998,0.5103,0.0334,0.3191,0.8214,0.6268,0.91069996,0.61109996,0.0004
2006-06-10,0.97449994,0.3471,0.2557,0.4168,0.0425,0.0888,0.8225,0.5372,0.8717,0.528,0.0
2006-06-11,0.96849996,0.35719997,0.27789998,0.41379997,0.045699995,0.09889999,0.71599996,0.45939997,0.78,0.5152,0.0032
2006-06-12,0.92709994,0.3038,0.2546,0.2934,0.0348,0.2367,0.6101,0.36829996,0.65,0.45799997,0.0
2006-06-13,0.9393999,0.41369998,0.32529998,0.29999998,0.0619,0.0,0.6690999,0.39369997,0.61259997,0.4502,0.010599999
2006-06-14,0.9406,0.45029998,0.3126,0.2706,0.028099999,0.0,0.70659995,0.3784,0.6173,0.39799997,0.0
2006-06-15,0.94259995,0.43149996,0.2584,0.26639998,0.048599996,0.28239998,0.7897999,0.4076,0.66609997,0.415,0.0012999999
2006-06-16,0.92149997,0.3523,0.33529997,0.24219999,0.036599997,0.0201,0.7543,0.3748,0.5581,0.3428,0.0
2006-06-17,0.92239994,0.2967,0.2765,0.22659999,0.0299,0.078499995,0.76659995,0.3543,0.56289995,0.24589999,0.0
2006-06-18,0.9396,0.2819,0.28599998,0.2616,0.057299998,0.0064999997,0.75619996,0.38779998,0.57579994,0.22309999,0.0
2006-06-19,0.90849996,0.3112,0.22399999,0.25559998,0.033499997,0.054299995,0.77949995,0.4141,0.6157,0.25939998,0.0
2006-06-20,0.8846,0.2599,0.1802,0.3304,0.0481,0.0,0.6876,0.4407,0.5839,0.2008,0.0
2006-06-21,0.91249996,0.27969998,0.114099994,0.2503,0.0273,0.24709998,0.75509995,0.39799997,0.5926,0.17109999,0.0047
2006-06-22,0.8954,0.2426,0.13509999,0.24539998,0.0365,0.0376,0.747,0.4094,0.5814,0.20809999,0.0
