idx,value
2016-12-24,11531325.319999991
2016-12-25,8348439.940000008
2016-12-26,11555565.45999999
2016-12-27,12756096.030000005
2016-12-28,15382722.23
2016-12-29,16733532.29
2016-12-30,15260124.210000006
2016-12-31,12803483.03000002
2017-01-01,3195745.8199999984
2017-01-02,3051589.9699999983
2017-01-03,5795138.139999999
2017-01-04,4087235.6799999992
2017-01-05,7923903.69
2017-01-06,18679419.639999982
2017-01-07,22958463.189999998
2017-01-08,3653342.540000002
2017-01-09,6759966.3300000075
2017-01-10,15573892.859999973
2017-01-11,14886317.58000001
2017-01-12,13674505.170000013
2017-01-13,7492433.380000003
2017-01-14,18795876.44000002
2017-01-15,6709799.710000004
2017-01-16,4928572.580000001
2017-01-17,7467711.619999997
2017-01-18,10156072.719999995
2017-01-19,7188900.65
2017-01-20,9303337.830000002
2017-01-21,7591377.87
2017-01-22,5416433.729999996
2017-01-23,5648637.250000002
2017-01-24,7194711.830000002
2017-01-25,8081185.480000006
2017-01-26,9713951.290000007
2017-01-27,9831023.290000003
2017-01-28,8160455.459999997
2017-01-29,5020975.190000004
2017-01-30,8687680.51
2017-01-31,7083113.879999997
2017-02-01,13294234.960000003
2017-02-02,7569751.4300000025
2017-02-03,14213072.16000001
2017-02-04,8508963.220000004
2017-02-05,9743686.979999997
2017-02-06,5504632.34
2017-02-07,7532696.020000002
2017-02-08,8317219.479999998
2017-02-09,7982997.420000001
2017-02-10,6985535.469999998
2017-02-11,5768267.84
2017-02-12,7340072.869999999
2017-02-13,3549129.9199999995
2017-02-14,5386181.17
2017-02-15,8838439.120000001
2017-02-16,8781854.660000002
2017-02-17,9405573.780000012
2017-02-18,8360918.719999999
2017-02-19,3890275.1699999985
2017-02-20,5888845.200000002
2017-02-21,8207143.320000004
2017-02-22,9298074.41
2017-02-23,8192534.320000004
2017-02-24,5091753.14
2017-02-25,5031792.389999998
2017-02-26,3707138.9300000016
2017-02-27,6645896.33
2017-02-28,10627737.640000008
2017-03-01,9737221.190000005
2017-03-02,7317053.970000006
2017-03-03,8086511.679999999
2017-03-04,7395228.600000002
2017-03-05,4420327.249999999
2017-03-06,6200367.3199999975
2017-03-07,8586676.480000006
2017-03-08,5065692.179999999
2017-03-09,4912221.650000002
2017-03-10,6666582.039999998
2017-03-11,6355646.589999996
2017-03-12,3464353.159999997
2017-03-13,5074823.799999999
2017-03-14,7169026.970000002
2017-03-15,6914532.359999997
2017-03-16,7136058.500000001
2017-03-17,6549600.990000003
2017-03-18,7276209.910000003
2017-03-19,3037323.8699999996
2017-03-20,5662595.67
2017-03-21,7807145.649999999
2017-03-22,7107740.0799999945
2017-03-23,7099503.980000003
2017-03-24,8379141.400000009
2017-03-25,6407070.900000001
2017-03-26,3272219.5600000024
2017-03-27,4656866.019999999
2017-03-28,6317793.440000001
2017-03-29,4900152.64
2017-03-30,8194945.300000002
2017-03-31,11026518.03
2017-04-01,8731851.110000001
2017-04-02,4823491.06
2017-04-03,8422971.700000001
2017-04-04,6418746.9799999995
2017-04-05,6675204.780000003
2017-04-06,8873491.33
2017-04-07,8279837.600000005
2017-04-08,8522747.890000002
2017-04-09,5944748.160000006
2017-04-10,8268829.84000001
2017-04-11,10760670.350000003
2017-04-12,10025965.909999998
2017-04-13,5686078.949999999
2017-04-14,12557938.710000008
2017-04-15,8318986.8
2017-04-16,4504428.79
2017-04-17,6170692.959999995
2017-04-18,8153540.650000006
2017-04-19,7330083.390000001
2017-04-20,9462653.16
2017-04-21,10257046.739999998
2017-04-22,8757284.130000008
2017-04-23,4837883.190000005
2017-04-24,6394602.660000005
2017-04-25,9796849.189999998
2017-04-26,9298502.280000005
2017-04-27,11736165.249999998
2017-04-28,12359546.210000006
2017-04-29,9478974.680000009
2017-04-30,4211333.340000002
2017-05-01,4187535.0800000047
2017-05-02,9183863.749999996
2017-05-03,8614908.37
2017-05-04,9378768.610000005
2017-05-05,12250676.780000005
2017-05-06,8691721.939999992
2017-05-07,4734607.550000006
2017-05-08,4844264.970000006
2017-05-09,2571010.0700000008
2017-05-10,6946599.740000002
